0,1,2,3,4,5,6,7,8,9,10
pork,root vegetables,,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
root vegetables,grapes,whole milk,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
other vegetables,skin care,,,,,,,,,
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese,,,
tropical fruit,other vegetables,,,,,,,,,
pork,bottled water,,,,,,,,,
canned beer,seasonal products,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
soda,liver loaf,,,,,,,,,
curd,butter,,,,,,,,,
chicken,coffee,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
frankfurter,coffee,,,,,,,,,
pork,curd,,,,,,,,,
whole milk,white bread,,,,,,,,,
chicken,whole milk,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
sausage,canned vegetables,,,,,,,,,
bottled water,berries,oil,,,,,,,,
beverages,canned fish,,,,,,,,,
margarine,chocolate,,,,,,,,,
pastry,whole milk,,,,,,,,,
napkins,white bread,,,,,,,,,
pastry,brandy,soda,,,,,,,,
newspapers,long life bakery product,napkins,,,,,,,,
beef,meat,,,,,,,,,
root vegetables,cream,,,,,,,,,
soda,yogurt,,,,,,,,,
frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables,,,
pastry,sausage,soda,rolls/buns,sugar,soda,other vegetables,whole milk,softener,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
pork,brown bread,,,,,,,,,
rolls/buns,yogurt,hard cheese,,,,,,,,
flower (seeds),margarine,,,,,,,,,
beverages,chewing gum,rolls/buns,,,,,,,,
meat,cream cheese ,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
other vegetables,whole milk,pudding powder,cream cheese ,,,,,,,
curd,whole milk,pet care,,,,,,,,
sausage,sausage,frozen fish,house keeping products,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
candy,soda,candy,,,,,,,,
newspapers,bottled water,,,,,,,,,
whole milk,oil,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
bottled water,rolls/buns,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
newspapers,cream cheese ,long life bakery product,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
chicken,citrus fruit,turkey,whole milk,sweet spreads,cream cheese ,specialty chocolate,oil,,,
sausage,pastry,ice cream,,,,,,,,
beef,margarine,baking powder,,,,,,,,
whole milk,onions,,,,,,,,,
photo/film,soda,cream cheese ,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
sausage,whisky,specialty chocolate,dishes,yogurt,napkins,detergent,pastry,,,
tropical fruit,pastry,salty snack,,,,,,,,
rolls/buns,yogurt,newspapers,,,,,,,,
whole milk,margarine,,,,,,,,,
pastry,margarine,,,,,,,,,
sausage,pip fruit,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled water,newspapers,,,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
frankfurter,butter,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
bottled beer,frozen meals,,,,,,,,,
bottled water,flour,,,,,,,,,
soda,bottled water,,,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
pastry,brown bread,,,,,,,,,
whole milk,fruit/vegetable juice,shopping bags,shopping bags,,,,,,,
curd,cake bar,ketchup,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
frankfurter,liquor (appetizer),red/blush wine,,,,,,,,
sausage,rolls/buns,,,,,,,,,
brown bread,butter milk,canned vegetables,soda,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
mayonnaise,pet care,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
rolls/buns,bottled water,bottled water,,,,,,,,
sliced cheese,candy,,,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
dessert,dessert,flour,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
pork,white wine,margarine,,,,,,,,
other vegetables,cat food,bottled water,,,,,,,,
napkins,cake bar,,,,,,,,,
curd,whole milk,,,,,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
tropical fruit,candy,,,,,,,,,
bottled beer,hamburger meat,other vegetables,,,,,,,,
cream cheese ,salt,,,,,,,,,
canned beer,frozen potato products,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
soda,whole milk,,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
pastry,chewing gum,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
beef,grapes,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
rolls/buns,domestic eggs,rolls/buns,,,,,,,,
oil,bottled water,,,,,,,,,
onions,waffles,,,,,,,,,
softener,soda,,,,,,,,,
UHT-milk,sugar,,,,,,,,,
candles,other vegetables,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
bottled beer,white bread,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
canned beer,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,curd,waffles,,,,,,,,
pork,frozen vegetables,,,,,,,,,
canned beer,sugar,,,,,,,,,
soda,butter,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
salty snack,soups,brown bread,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,soda,,,,,,,,,
pork,bottled beer,,,,,,,,,
beef,chocolate,,,,,,,,,
tropical fruit,meat,other vegetables,domestic eggs,baking powder,,,,,,
soda,canned beer,,,,,,,,,
liver loaf,bottled water,bottled water,,,,,,,,
sliced cheese,pasta,,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
root vegetables,specialty cheese,curd,,,,,,,,
chicken,whole milk,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
butter,waffles,,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
whipped/sour cream,soda,,,,,,,,,
butter,yogurt,,,,,,,,,
ice cream,curd,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
condensed milk,rolls/buns,organic products,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
sausage,whole milk,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
whole milk,curd,yogurt,candy,,,,,,,
other vegetables,liquor,,,,,,,,,
brown bread,brown bread,,,,,,,,,
sausage,other vegetables,,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
citrus fruit,canned beer,,,,,,,,,
beverages,frozen meals,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
beef,mayonnaise,,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
whole milk,berries,,,,,,,,,
whole milk,sliced cheese,shopping bags,,,,,,,,
beef,soda,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
meat,rolls/buns,,,,,,,,,
pastry,whole milk,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
berries,ham,,,,,,,,,
bottled beer,whole milk,salty snack,other vegetables,,,,,,,
white wine,whole milk,misc. beverages,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
meat,whole milk,,,,,,,,,
rice,whipped/sour cream,,,,,,,,,
other vegetables,whole milk,artif. sweetener,,,,,,,,
napkins,photo/film,,,,,,,,,
berries,candy,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pastry,other vegetables,,,,,,,,,
berries,curd,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
rolls/buns,whole milk,,,,,,,,,
chocolate,herbs,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
whipped/sour cream,other vegetables,pot plants,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
other vegetables,yogurt,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
canned beer,newspapers,newspapers,,,,,,,,
pork,dessert,,,,,,,,,
ham,chocolate,,,,,,,,,
rolls/buns,sugar,fruit/vegetable juice,,,,,,,,
meat,sausage,other vegetables,shopping bags,,,,,,,
butter,whole milk,,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
white bread,curd cheese,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
yogurt,whole milk,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
bottled water,whole milk,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
napkins,tropical fruit,yogurt,sugar,,,,,,,
canned beer,grapes,UHT-milk,brown bread,,,,,,,
sausage,other vegetables,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
pip fruit,soda,,,,,,,,,
canned vegetables,pasta,,,,,,,,,
other vegetables,pork,herbs,oil,,,,,,,
citrus fruit,sugar,specialty chocolate,,,,,,,,
root vegetables,flour,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
whole milk,bottled beer,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
beef,margarine,,,,,,,,,
bags,yogurt,soda,,,,,,,,
other vegetables,curd,abrasive cleaner,,,,,,,,
whole milk,shopping bags,specialty bar,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
white wine,cat food,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
finished products,domestic eggs,margarine,,,,,,,,
pastry,waffles,,,,,,,,,
newspapers,soda,,,,,,,,,
citrus fruit,beef,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
whipped/sour cream,bottled beer,,,,,,,,,
zwieback,soda,curd,,,,,,,,
tropical fruit,pork,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
sausage,sparkling wine,,,,,,,,,
beef,cling film/bags,bottled water,butter,sweet spreads,candy,,,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
beef,frozen vegetables,coffee,,,,,,,,
sausage,semi-finished bread,coffee,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
semi-finished bread,dish cleaner,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
canned fish,soda,,,,,,,,,
whole milk,rolls/buns,other vegetables,margarine,,,,,,,
brown bread,shopping bags,,,,,,,,,
beef,flower (seeds),,,,,,,,,
pip fruit,yogurt,flour,rolls/buns,,,,,,,
other vegetables,newspapers,,,,,,,,,
sausage,yogurt,,,,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
berries,shopping bags,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
brown bread,grapes,bottled water,soda,,,,,,,
soft cheese,napkins,,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
chocolate,chocolate,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
sausage,rolls/buns,,,,,,,,,
tropical fruit,soda,,,,,,,,,
soda,snack products,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
other vegetables,tropical fruit,pork,soda,,,,,,,
brown bread,misc. beverages,,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
yogurt,whole milk,pickled vegetables,long life bakery product,mustard,,,,,,
pastry,rolls/buns,,,,,,,,,
newspapers,salty snack,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
beef,canned beer,,,,,,,,,
bottled water,detergent,domestic eggs,yogurt,,,,,,,
other vegetables,whole milk,,,,,,,,,
processed cheese,brown bread,house keeping products,,,,,,,,
whole milk,frozen potato products,,,,,,,,,
soda,root vegetables,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
ice cream,pip fruit,root vegetables,rolls/buns,long life bakery product,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
pastry,white bread,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
margarine,bottled beer,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
beef,bottled water,bottled water,,,,,,,,
instant coffee,domestic eggs,,,,,,,,,
turkey,condensed milk,yogurt,,,,,,,,
whole milk,pastry,,,,,,,,,
soda,hygiene articles,,,,,,,,,
canned beer,margarine,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
napkins,other vegetables,pot plants,,,,,,,,
rolls/buns,brandy,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
root vegetables,frozen meals,shopping bags,margarine,,,,,,,
other vegetables,other vegetables,frozen dessert,waffles,soda,,,,,,
onions,grapes,bottled beer,,,,,,,,
frankfurter,other vegetables,soda,,,,,,,,
sausage,sugar,,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
bottled water,potato products,bottled water,,,,,,,,
chicken,onions,,,,,,,,,
yogurt,canned beer,,,,,,,,,
butter,rolls/buns,,,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
tropical fruit,soda,,,,,,,,,
beef,other vegetables,,,,,,,,,
tropical fruit,pork,photo/film,hard cheese,,,,,,,
beverages,rolls/buns,soups,white bread,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
domestic eggs,whole milk,onions,misc. beverages,,,,,,,
frankfurter,hard cheese,butter,,,,,,,,
citrus fruit,berries,,,,,,,,,
sliced cheese,cream cheese ,semi-finished bread,,,,,,,,
beef,napkins,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
whole milk,newspapers,,,,,,,,,
beef,domestic eggs,,,,,,,,,
white bread,red/blush wine,,,,,,,,,
pip fruit,pastry,,,,,,,,,
sausage,roll products ,,,,,,,,,
citrus fruit,cream cheese ,,,,,,,,,
red/blush wine,specialty bar,rolls/buns,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
canned beer,brown bread,,,,,,,,,
sausage,canned beer,frozen vegetables,detergent,,,,,,,
bottled beer,dog food,,,,,,,,,
zwieback,butter,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
canned vegetables,brown bread,salty snack,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
bottled beer,oil,whole milk,dishes,,,,,,,
prosecco,dessert,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
sausage,spread cheese,bottled water,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
rolls/buns,soda,,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
rolls/buns,shopping bags,cream cheese ,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
pork,hygiene articles,,,,,,,,,
tropical fruit,citrus fruit,domestic eggs,rolls/buns,,,,,,,
whole milk,bottled water,,,,,,,,,
domestic eggs,brown bread,specialty chocolate,,,,,,,,
soda,tropical fruit,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
cream cheese ,baking powder,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
root vegetables,root vegetables,root vegetables,pastry,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
chocolate,dessert,,,,,,,,,
other vegetables,roll products ,,,,,,,,,
curd,yogurt,,,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
tropical fruit,soda,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,domestic eggs,mayonnaise,soda,,,,,,,
hygiene articles,dessert,,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
yogurt,butter,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
sausage,cocoa drinks,,,,,,,,,
turkey,yogurt,,,,,,,,,
canned fish,newspapers,,,,,,,,,
ham,chocolate marshmallow,,,,,,,,,
citrus fruit,chewing gum,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
soda,margarine,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
butter milk,whole milk,,,,,,,,,
whipped/sour cream,detergent,,,,,,,,,
hamburger meat,spread cheese,,,,,,,,,
beef,tropical fruit,root vegetables,whole milk,cream cheese ,newspapers,,,,,
other vegetables,bottled beer,white bread,fruit/vegetable juice,,,,,,,
cake bar,Instant food products,,,,,,,,,
chicken,white bread,,,,,,,,,
whole milk,whole milk,coffee,oil,,,,,,,
pip fruit,specialty fat,,,,,,,,,
curd,frozen meals,,,,,,,,,
whole milk,margarine,,,,,,,,,
pet care,other vegetables,,,,,,,,,
citrus fruit,candy,,,,,,,,,
preservation products,soups,,,,,,,,,
curd,meat,yogurt,whipped/sour cream,,,,,,,
dessert,soda,,,,,,,,,
curd,soda,,,,,,,,,
sparkling wine,softener,,,,,,,,,
napkins,pastry,whole milk,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
butter,dessert,,,,,,,,,
beef,whole milk,pet care,citrus fruit,,,,,,,
pork,processed cheese,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
onions,flour,whipped/sour cream,,,,,,,,
white wine,specialty bar,,,,,,,,,
sausage,root vegetables,,,,,,,,,
beef,hamburger meat,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
frankfurter,citrus fruit,newspapers,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
yogurt,brown bread,newspapers,,,,,,,,
tropical fruit,bottled water,whipped/sour cream,,,,,,,,
roll products ,oil,UHT-milk,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
sausage,soda,,,,,,,,,
pastry,pork,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
dessert,salty snack,,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
yogurt,tropical fruit,whipped/sour cream,Instant food products,,,,,,,
soda,hard cheese,,,,,,,,,
whole milk,liquor,,,,,,,,,
canned beer,onions,,,,,,,,,
root vegetables,frozen potato products,onions,UHT-milk,,,,,,,
root vegetables,Instant food products,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
whole milk,detergent,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
whole milk,soda,,,,,,,,,
newspapers,newspapers,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
chicken,oil,chocolate,candy,,,,,,,
liver loaf,domestic eggs,,,,,,,,,
white bread,rolls/buns,,,,,,,,,
root vegetables,pastry,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
coffee,sugar,,,,,,,,,
pip fruit,curd,specialty bar,beverages,sausage,soft cheese,rolls/buns,yogurt,other vegetables,curd,newspapers
root vegetables,whole milk,napkins,,,,,,,,
sausage,hamburger meat,other vegetables,,,,,,,,
whole milk,hard cheese,,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
whole milk,napkins,,,,,,,,,
shopping bags,rolls/buns,,,,,,,,,
citrus fruit,domestic eggs,bottled water,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
chicken,soda,,,,,,,,,
soda,cling film/bags,,,,,,,,,
tropical fruit,ice cream,,,,,,,,,
other vegetables,butter,,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,beef,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
turkey,cream cheese ,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
root vegetables,frozen potato products,dental care,,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
oil,canned beer,,,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
cream cheese ,frozen meals,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
yogurt,newspapers,,,,,,,,,
pot plants,pastry,,,,,,,,,
soda,frozen vegetables,brown bread,yogurt,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
sausage,candy,,,,,,,,,
frankfurter,pip fruit,,,,,,,,,
whole milk,pastry,specialty bar,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
sausage,pork,,,,,,,,,
soda,spices,,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
frozen dessert,bottled water,,,,,,,,,
soda,soda,,,,,,,,,
soda,domestic eggs,,,,,,,,,
oil,chewing gum,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
sausage,soda,,,,,,,,,
whole milk,sparkling wine,,,,,,,,,
chicken,pastry,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
frozen meals,whole milk,fruit/vegetable juice,butter,chocolate,bottled water,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
beef,whole milk,fruit/vegetable juice,hygiene articles,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
citrus fruit,frozen dessert,,,,,,,,,
pot plants,spread cheese,butter milk,,,,,,,,
other vegetables,white bread,,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
tropical fruit,cat food,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
citrus fruit,whole milk,rolls/buns,liquor,tropical fruit,,,,,,
beverages,curd,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
soda,long life bakery product,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
whole milk,dishes,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
cream cheese ,yogurt,sugar,,,,,,,,
frankfurter,soda,,,,,,,,,
hamburger meat,condensed milk,,,,,,,,,
whole milk,chocolate,,,,,,,,,
photo/film,soda,,,,,,,,,
hamburger meat,margarine,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
chicken,yogurt,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
tropical fruit,tropical fruit,dessert,sweet spreads,,,,,,,
sauces,misc. beverages,,,,,,,,,
sugar,canned vegetables,,,,,,,,,
bottled beer,UHT-milk,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
meat,other vegetables,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
berries,baking powder,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
berries,sauces,,,,,,,,,
tea,light bulbs,,,,,,,,,
sausage,newspapers,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
butter,rolls/buns,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
canned fish,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
root vegetables,dessert,,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
canned fish,curd,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
specialty bar,bottled beer,,,,,,,,,
bottled water,frankfurter,tropical fruit,liquor,specialty chocolate,,,,,,
ham,cream cheese ,other vegetables,oil,candy,,,,,,
soda,tropical fruit,,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
long life bakery product,bottled beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
soda,root vegetables,semi-finished bread,,,,,,,,
dessert,curd,,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
beef,whole milk,canned vegetables,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
dessert,flower (seeds),,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
ice cream,grapes,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
specialty bar,chicken,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
whole milk,onions,,,,,,,,,
meat,other vegetables,,,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
other vegetables,newspapers,,,,,,,,,
